36,0.14098565190268247,0.0,1,3	100031,100007	100012
36,0.14098565190268247,0.04715513934333747,2,7	100012,100012,100026,100015	100180,100044,100026
36,0.14098565190268247,0.034445221708225206,4,5	100012,100082,100082,100160	100082
94,0.0009357454772301934,0.03974275076159314,3,4	100011,100053,100056	100007
181,0.004366812227074236,0.0990210989506939,4,7	100114,100191,100007,100010,100088	100191,100088
209,0.5449157829070492,0.04771206137876566,0,1		100032
209,0.5449157829070492,0.07561593140020309,2,8	100038,100073,100044,100069,100099	100059,100093,100043
209,0.5449157829070492,0.10137696039715671,2,8	100060,100032,100069,100088,100044,100099	100034,100008
15,0.006862133499688085,0.09548550152318629,1,5	100015,100059,100073	100023,100011
15,0.006862133499688085,0.1174572943698522,0,1		100030
2,0.0611353711790393,0.100424686900598,5,14	100023,100026,100046,100044,100069,100021,100007,100010,100013,100076,100181,100069	100004,100044
272,0.11353711790393013,0.0,0,3		100026,100304,100051
209,0.5449157829070492,0.22855466546316147,25,38	100007,100047,100005,100003,100057,100058,100017,100013,100007,100047,100017,100034,100108,100007,100027,100033,100034,100002,100044,100101,100010,100240,100002,100056,100125,100007,100017,100146,100081,100056,100031,100011,100012,100007,100031,100282	100056,100018
75,0.06924516531503432,0.08154620331716123,0,7		100007,100011,100013,100048,100030,100021,100085
75,0.06924516531503432,0.09898409116551958,1,9	100060	100143,100010,100065,100064,100135,100069,100021,100063
181,0.004366812227074236,0.07758998081913573,1,4	100036,100002,100007	100081
111,0.05583281347473487,0.18077671217420738,2,3	100012,100002	100012
111,0.05583281347473487,0.0,1,4	100026,100051,100056	100012
111,0.05583281347473487,0.1681742073789913,7,13	100252,100044,100007,100012,100007,100051,100282,100031,100013,100011,100056	100109,100110
209,0.5449157829070492,0.09445740719846553,10,16	100010,100007,100005,100032,100007,100010,100041,100011,100012,100007,100013,100196,100031,100056,100088	100024
231,0.03275109170305677,0.14910436646733613,13,41	100023,100215,100177,100059,100021,100013,100030,100060,100031,100056,100084,100006,100184,100065,100041,100056,100134,100010,100007,100089,100297,100174,100068,100041,100056,100010,100026,100062,100177,100015,100021,100011,100063,100041,100012,100012	100007,100056,100205,100010,100038
209,0.5449157829070492,0.07404264921584114,0,1		100007
209,0.5449157829070492,0.06010696152544285,1,3	100021	100011,100031
209,0.5449157829070492,0.1229028545639174,1,3	100007	100077,100269
231,0.03275109170305677,0.09269276768588514,11,14	100007,100007,100130,100013,100041,100011,100042,100056,100012,100031,100056,100177,100013	100007
231,0.03275109170305677,0.0,7,16	100011,100032,100038,100138,100031,100269,100091,100015,100041,100212,100056,100031,100007,100116,100013	100056
170,0.0018714909544603868,0.09374794087780661,0,1		100038
209,0.5449157829070492,0.18386641092180978,10,20	100044,100021,100069,100031,100114,100013,100253,100012,100007,100010,100011,100069,100023,100088,100183,100021,100017,100002,100024	100012
209,0.5449157829070492,0.14932190003384857,1,3	100017,100007	100007
46,0.11603243917654397,0.030283199819474218,1,3	100027,100034	100031
231,0.03275109170305677,0.07840866523750423,10,21	100041,100012,100010,100007,100011,100031,100070,100043,100013,100042,100007,100012,100056,100041,100007,100031,100079,100031	100303,100115,100011
209,0.5449157829070492,0.06842017375606453,4,10	100007,100027,100100,100017,100012,100019,100056,100085	100007,100059
37,0.08827199001871491,0.13765903193049758,2,7	100002,100038,100007	100042,100043,100063,100002
37,0.08827199001871491,0.05901478054834706,1,2	100013	100002
37,0.08827199001871491,0.1322098612208056,3,5	100013,100042,100065,100067	100218
37,0.08827199001871491,0.18252690962428073,3,5	100007,100270,100025	100022,100013
37,0.08827199001871491,0.09649825115649328,3,5	100007,100063,100007	100056,100038
37,0.08827199001871491,0.08997495204783933,2,4	100002,100026	100013,100007
37,0.08827199001871491,0.12916439128963106,2,4	100042,100002,100218	100013
37,0.08827199001871491,0.09955184474782805,1,2	100007	100056
37,0.08827199001871491,0.10542164052803792,3,7	100013,100007,100013,100007,100035,100002	100056
37,0.08827199001871491,0.09781608936026176,6,10	100063,100020,100016,100002,100001,100056,100007,100013,100038	100007
37,0.08827199001871491,0.14712851179059008,5,9	100013,100007,100071,100013,100042,100042,100071,100002	100149
37,0.08827199001871491,0.1832688705855805,5,6	100038,100130,100011,100038,100013	100025
37,0.08827199001871491,0.1775588401218549,5,8	100007,100002,100007,100013,100002,100026	100013,100038
37,0.08827199001871491,0.12541306555342435,3,5	100013,100007,100007	100022,100013
37,0.08827199001871491,0.11508608823197562,4,8	100026,100007,100056,100002	100044,100026,100042,100065
37,0.08827199001871491,0.15406521493850842,8,12	100023,100042,100138,100265,100253,100026,100002,100193,100007,100013,100012	100038
65,0.005302557704304429,0.0,0,1		100056
65,0.005302557704304429,0.055365451878596414,1,3	100086	100011,100013
231,0.03275109170305677,0.08009116551957576,15,27	100031,100007,100007,100248,100175,100031,100011,100043,100130,100285,100007,100041,100297,100056,100027,100023,100182,100168,100099,100059,100013,100063,100020,100012,100041,100013	100019
231,0.03275109170305677,0.10677197337244725,11,31	100269,100041,100065,100205,100056,100177,100002,100007,100023,100022,100011,100031,100063,100013,100020,100059,100099,100168,100056,100002,100041,100065,100269,100205,100056,100012,100013,100056,100285,100079	100007
111,0.05583281347473487,0.03674963330700666,3,6	100012,100017,100007,100011,100013	100012
64,0.0009357454772301934,0.0,4,12	100024,100011,100085,100065,100044,100059,100146,100030,100028,100031,100007	100019
36,0.14098565190268247,0.0,0,2		100023,100199
36,0.14098565190268247,0.06065395464289744,1,2	100001	100012
37,0.08827199001871491,0.11667561773665802,3,6	100002,100020,100013,100007	100042,100013
37,0.08827199001871491,0.14304862913234798,2,6	100026,100078,100066	100007,100042,100002
37,0.08827199001871491,0.09908157508744217,1,2	100058	100013
37,0.08827199001871491,0.1211490465982173,4,6	100002,100002,100042,100002,100038	100013
37,0.08827199001871491,0.16090353153559742,4,7	100002,100007,100013,100042	100007,100011,100038
37,0.08827199001871491,0.1258851404716236,1,2	100013	100007
37,0.08827199001871491,0.17033510098160892,3,9	100042,100063,100021,100002,100038,100120,100030,100084	100013
37,0.08827199001871491,0.24597630599119938,3,5	100012,100011,100013,100026	100041
37,0.08827199001871491,0.12576509082703374,1,3	100031	100007,100013
37,0.08827199001871491,0.14399187633983979,3,7	100023,100013,100042,100038,100270,100002	100002
37,0.08827199001871491,0.11393072323141148,1,3	100038	100013,100007
37,0.08827199001871491,0.1968344804242356,3,7	100011,100013,100002,100013,100042,100053	100002
37,0.08827199001871491,0.21080717589980819,5,11	100013,100007,100011,100038,100011,100002,100053,100025,100002	100013,100026
37,0.08827199001871491,0.16745390951145211,4,7	100002,100001,100002,100038,100011	100013,100039
37,0.08827199001871491,0.18590274173530408,4,6	100007,100007,100025,100002,100013	100011
37,0.08827199001871491,0.12073383730113957,4,6	100002,100002,100038,100002,100002	100013
230,0.024641297567061758,0.045592688705855804,3,6	100012,100035,100011,100048,100044	100007
231,0.03275109170305677,0.040457632855692205,15,21	100012,100214,100011,100007,100120,100041,100043,100056,100011,100022,100056,100013,100012,100056,100002,100024,100177,100013	100031,100038,100051
209,0.5449157829070492,0.04826447026966039,3,4	100012,100056,100056	100056
37,0.08827199001871491,0.12603497687013426,2,4	100012,100181	100023,100011
144,0.0056144728633811605,0.07689946970551732,1,4	100007	100007,100080,100038
111,0.05583281347473487,0.07840144420625071,3,4	100012,100002,100012	100015
111,0.05583281347473487,0.12558546767460227,5,10	100012,100002,100026,100065,100013,100011,100051,100024	100010,100035
